PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
DK01;PARTY;3;SD;CONSTITUTIVE;2019-07-02 10:00
DK02;PARTY;2;ALDE;CONSTITUTIVE;2019-07-02 10:00
DK03;PARTY;1;EPP;CONSTITUTIVE;2019-07-02 10:00
DK04;PARTY;2;GREENSEFA;CONSTITUTIVE;2019-07-02 10:00
DK07;PARTY;1;ENF;CONSTITUTIVE;2019-07-02 10:00
DK08;PARTY;3;ALDE;CONSTITUTIVE;2019-07-02 10:00
DK09;PARTY;1;GUENGL;CONSTITUTIVE;2019-07-02 10:00
